evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1555832579,1555832581,0.035,"['a', 'a', 'a', 'a']",000_00000.dat,0,2.0513103008270264
1,1555832581,1555832583,0.033,"['a', 'b', 'a', 'c']",000_00001.dat,0,4.170446872711182
2,1555832583,1555832585,9.223372036854776e+18,"['a', 'a', 'c', 'c']",000_00002.dat,0,5.98369026184082
3,1555832585,1555832587,0.033,"['a', 'b', 'a', 'c']",000_00003.dat,0,8.106431484222412
4,1555832587,1555832589,0.035,"['b', 'a', 'a', 'c']",000_00004.dat,0,10.247013330459595
5,1555832589,1555832592,0.025,"['a', 'b', 'b', 'b']",000_00005.dat,0,12.462559223175049
6,1555832592,1555832593,9.223372036854776e+18,"['b', 'a', 'c', 'b']",000_00006.dat,0,14.422855138778687
7,1555832593,1555832596,0.03,"['a', 'a', 'b', 'a']",000_00007.dat,0,16.596063137054443
8,1555832596,1555832598,9.223372036854776e+18,"['a', 'b', 'c', 'b']",000_00008.dat,0,18.53498649597168
9,1555832598,1555832600,0.035,"['a', 'a', 'a', 'c']",000_00009.dat,0,21.006954431533813
10,1555832601,1555832603,0.036,"['a', 'a', 'a', 'b']",000_00010.dat,0,24.245758056640625
11,1555832604,1555832607,0.032,"['a', 'b', 'a', 'c']",000_00011.dat,0,27.54812979698181
12,1555832608,1555832610,0.032,"['a', 'b', 'a', 'c']",000_00012.dat,0,30.97199845314026
13,1555832611,1555832613,0.033,"['a', 'b', 'a', 'c']",000_00013.dat,0,34.2986741065979
14,1555832615,1555832617,0.033,"['b', 'b', 'a', 'c']",000_00014.dat,0,37.69151329994202
15,1555832618,1555832620,0.033,"['a', 'b', 'a', 'c']",000_00015.dat,0,41.05438566207886
16,1555832621,1555832623,0.033,"['a', 'b', 'a', 'c']",000_00016.dat,0,44.403483390808105
17,1555832625,1555832627,0.032,"['a', 'b', 'a', 'c']",000_00017.dat,0,47.783278703689575
18,1555832628,1555832630,0.033,"['b', 'b', 'a', 'c']",000_00018.dat,0,51.22924494743347
19,1555832632,1555832634,0.033,"['a', 'b', 'a', 'c']",000_00019.dat,0,54.59453082084656
20,1555832635,1555832637,0.033,"['a', 'b', 'a', 'c']",000_00020.dat,0,57.957921743392944
21,1555832638,1555832640,0.033,"['a', 'b', 'a', 'c']",000_00021.dat,0,61.33413815498352
