evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569866852,1569866862,1.7976931348623157e+308,"['c', 'c']",000_00000.dat,0,9.921040773391724
1,1569866862,1569866868,1.7976931348623157e+308,"['b', 'd']",000_00001.dat,0,16.12894868850708
2,1569866868,1569866875,1.7976931348623157e+308,"['b', 'b']",000_00002.dat,0,22.33963942527771
3,1569866875,1569866881,1.7976931348623157e+308,"['b', 'd']",000_00003.dat,0,28.500494480133057
4,1569866881,1569866887,1.7976931348623157e+308,"['d', 'b']",000_00004.dat,0,34.73190379142761
5,1569866887,1569866893,1.7976931348623157e+308,"['b', 'd']",000_00005.dat,0,40.91156458854675
6,1569866893,1569866899,1.7976931348623157e+308,"['d', 'b']",000_00006.dat,0,47.09249234199524
7,1569866899,1569866905,1.7976931348623157e+308,"['b', 'b']",000_00007.dat,0,53.2840793132782
8,1569866906,1569866912,1.7976931348623157e+308,"['b', 'd']",000_00008.dat,0,59.44452500343323
9,1569866912,1569866918,1.7976931348623157e+308,"['a', 'a']",000_00009.dat,0,65.86981272697449
