evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1571624638,1571624660,2.228888,"['c', 'c']",000_00000.dat,0,21.731273889541626
1,1571624660,1571624677,2.023355,"['b', 'd']",000_00001.dat,0,38.548882722854614
2,1571624677,1571624695,2.288409,"['b', 'b']",000_00002.dat,0,57.21801209449768
3,1571624695,1571624713,2.050668,"['a', 'd']",000_00003.dat,0,74.9028217792511
4,1571624713,1571624733,2.338038,"['c', 'b']",000_00004.dat,0,95.16784119606018
5,1571624733,1571624751,2.16583,"['a', 'd']",000_00005.dat,0,112.8016266822815
6,1571624751,1571624769,2.120556,"['c', 'b']",000_00006.dat,0,131.06371235847473
7,1571624769,1571624786,2.09961,"['b', 'b']",000_00007.dat,0,148.18568897247314
8,1571624786,1571624806,2.133453,"['b', 'd']",000_00008.dat,0,168.0099561214447
9,1571624806,1571624824,2.368765,"['a', 'a']",000_00009.dat,0,186.51519107818604
10,1571624825,1571624843,2.357454,"['b', 'd']",000_00010.dat,0,205.24634194374084
11,1571624844,1571624861,2.087428,"['b', 'd']",000_00011.dat,0,223.39904117584229
12,1571624862,1571624882,2.051299,"['b', 'd']",000_00012.dat,0,244.33798575401306
13,1571624883,1571624900,2.068803,"['b', 'd']",000_00013.dat,0,262.4511995315552
14,1571624901,1571624919,1.992413,"['b', 'd']",000_00014.dat,0,280.67493534088135
15,1571624919,1571624938,2.410641,"['b', 'd']",000_00015.dat,0,300.3495078086853
16,1571624939,1571624961,2.404077,"['b', 'd']",000_00016.dat,0,322.6096248626709
17,1571624961,1571624978,2.011409,"['b', 'd']",000_00017.dat,0,340.3720293045044
18,1571624979,1571624998,2.200573,"['b', 'd']",000_00018.dat,0,359.72194480895996
19,1571624999,1571625016,1.869704,"['b', 'd']",000_00019.dat,0,377.6061418056488
20,1571625016,1571625037,2.187409,"['b', 'd']",000_00020.dat,0,399.16842246055603
21,1571625038,1571625056,2.124929,"['b', 'd']",000_00021.dat,0,418.0385410785675
22,1571625057,1571625076,2.241811,"['b', 'd']",000_00022.dat,0,437.89363837242126
23,1571625077,1571625096,2.255984,"['b', 'd']",000_00023.dat,0,458.0269122123718
24,1571625097,1571625116,1.770572,"['b', 'd']",000_00024.dat,0,478.1029076576233
25,1571625117,1571625134,2.195097,"['b', 'd']",000_00025.dat,0,496.2818167209625
26,1571625135,1571625153,2.129231,"['b', 'd']",000_00026.dat,0,514.7379257678986
27,1571625154,1571625172,2.012569,"['b', 'd']",000_00027.dat,0,534.391313791275
28,1571625173,1571625191,1.976557,"['b', 'd']",000_00028.dat,0,553.4864192008972
29,1571625192,1571625210,2.138353,"['b', 'd']",000_00029.dat,0,571.9048755168915
30,1571625211,1571625228,2.071943,"['b', 'd']",000_00030.dat,0,590.4424664974213
31,1571625229,1571625248,2.077937,"['b', 'd']",000_00031.dat,0,609.5756533145905
32,1571625248,1571625270,2.356321,"['b', 'd']",000_00032.dat,0,632.0456898212433
33,1571625271,1571625289,2.185238,"['b', 'd']",000_00033.dat,0,651.0347151756287
34,1571625290,1571625306,1.881442,"['b', 'd']",000_00034.dat,0,667.9659790992737
35,1571625307,1571625324,2.116318,"['b', 'd']",000_00035.dat,0,686.0952489376068
36,1571625325,1571625345,2.273333,"['b', 'd']",000_00036.dat,0,707.3916025161743
37,1571625346,1571625365,2.212447,"['b', 'd']",000_00037.dat,0,726.6468262672424
38,1571625365,1571625383,2.284793,"['b', 'd']",000_00038.dat,0,745.0624787807465
39,1571625384,1571625402,2.036199,"['b', 'd']",000_00039.dat,0,763.6096513271332
40,1571625402,1571625422,1.969574,"['b', 'd']",000_00040.dat,0,783.6153075695038
41,1571625422,1571625440,2.080553,"['b', 'd']",000_00041.dat,0,801.6030406951904
42,1571625440,1571625458,2.101934,"['b', 'd']",000_00042.dat,0,820.4580216407776
43,1571625459,1571625479,2.458544,"['b', 'd']",000_00043.dat,0,840.9392895698547
44,1571625480,1571625501,2.137888,"['b', 'd']",000_00044.dat,0,862.5808498859406
