evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569136884,1569136894,2.254528,"['a', 'a']",000_00000.dat,0,10.620922327041626
1,1569136894,1569136903,2.420979,"['c', 'e']",000_00001.dat,0,18.98171353340149
2,1569136903,1569136911,2.325955,"['b', 'b']",000_00002.dat,0,27.114680290222168
3,1569136911,1569136919,2.195246,"['b', 'd']",000_00003.dat,0,35.14453721046448
4,1569136919,1569136927,2.272611,"['e', 'b']",000_00004.dat,0,43.23083209991455
5,1569136927,1569136936,2.40854,"['b', 'e']",000_00005.dat,0,51.78573727607727
6,1569136936,1569136944,2.326276,"['e', 'c']",000_00006.dat,0,60.142544746398926
7,1569136944,1569136952,2.136127,"['b', 'c']",000_00007.dat,0,68.42067790031433
8,1569136952,1569136962,2.118451,"['c', 'e']",000_00008.dat,0,78.4856915473938
9,1569136963,1569136971,2.510329,"['b', 'b']",000_00009.dat,0,87.36324000358582
10,1569136972,1569136980,2.147684,"['c', 'c']",000_00010.dat,0,96.28295254707336
