evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1571533041,1571533187,27.247748,"['a', 'b']",000_00000.dat,0,146.61888527870178
1,1571533187,1571533352,31.284873,"['b', 'd']",000_00001.dat,0,311.83892464637756
2,1571533352,1571533496,26.970732,"['b', 'b']",000_00002.dat,0,455.54978108406067
3,1571533496,1571533661,31.043904,"['a', 'd']",000_00003.dat,0,620.6006412506104
4,1571533661,1571533804,26.762408,"['c', 'b']",000_00004.dat,0,763.0974338054657
5,1571533804,1571533967,30.955446,"['a', 'd']",000_00005.dat,0,926.7605578899384
6,1571533967,1571534110,26.824985,"['c', 'b']",000_00006.dat,0,1069.921867132187
7,1571534110,1571534255,26.944383,"['b', 'b']",000_00007.dat,0,1214.3871779441833
8,1571534255,1571534419,31.122465,"['b', 'd']",000_00008.dat,0,1378.8723316192627
9,1571534420,1571534567,27.638616,"['a', 'a']",000_00009.dat,0,1526.2568802833557
10,1571534568,1571534712,26.928331,"['c', 'b']",000_00010.dat,0,1672.0080199241638
11,1571534713,1571534859,27.43721,"['a', 'b']",000_00011.dat,0,1818.8588099479675
12,1571534860,1571535003,26.776222,"['c', 'b']",000_00012.dat,0,1962.3891446590424
13,1571535004,1571535149,27.3107,"['c', 'b']",000_00013.dat,0,2108.4916503429413
14,1571535150,1571535293,26.906769,"['b', 'b']",000_00014.dat,0,2252.499531507492
15,1571535294,1571535437,26.690266,"['c', 'b']",000_00015.dat,0,2396.8728218078613
16,1571535438,1571535581,26.790407,"['c', 'b']",000_00016.dat,0,2540.9426441192627
