evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1571596118,1571596171,8.517781,"['a', 'a']",000_00000.dat,0,53.6129093170166
1,1571596171,1571596232,10.961069,"['b', 'd']",000_00001.dat,0,114.1207103729248
2,1571596232,1571596305,12.681134,"['b', 'b']",000_00002.dat,0,187.73360657691956
3,1571596306,1571596359,9.199289,"['a', 'd']",000_00003.dat,0,241.01269149780273
4,1571596359,1571596461,19.652797,"['c', 'b']",000_00004.dat,0,342.9876618385315
5,1571596461,1571596522,9.560807,"['a', 'd']",000_00005.dat,0,404.63426637649536
6,1571596522,1571596633,21.667976,"['c', 'b']",000_00006.dat,0,515.1621565818787
7,1571596633,1571596715,13.120882,"['b', 'b']",000_00007.dat,0,597.1998691558838
8,1571596715,1571596800,15.879563,"['b', 'd']",000_00008.dat,0,682.2736299037933
9,1571596800,1571596857,9.570068,"['a', 'a']",000_00009.dat,0,738.8454518318176
10,1571596858,1571596914,10.220309,"['a', 'd']",000_00010.dat,0,796.0591177940369
11,1571596915,1571596967,8.986254,"['a', 'd']",000_00011.dat,0,849.4404919147491
12,1571596968,1571597024,10.220045,"['a', 'd']",000_00012.dat,0,906.4379150867462
