evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1571537830,1571537977,28.666881,"['a', 'a']",000_00000.dat,0,146.95443320274353
1,1571537977,1571538139,31.86061,"['b', 'd']",000_00001.dat,0,309.00813341140747
2,1571538139,1571538284,28.343248,"['b', 'b']",000_00002.dat,0,453.6319978237152
3,1571538284,1571538443,31.207253,"['a', 'd']",000_00003.dat,0,612.4465293884277
4,1571538443,1571538587,28.285994,"['c', 'b']",000_00004.dat,0,756.4999446868896
5,1571538587,1571538746,31.220715,"['a', 'd']",000_00005.dat,0,915.3331618309021
6,1571538746,1571538890,28.279474,"['c', 'b']",000_00006.dat,0,1059.4415183067322
7,1571538890,1571539034,28.344697,"['b', 'b']",000_00007.dat,0,1203.96302652359
8,1571539034,1571539197,31.934481,"['b', 'd']",000_00008.dat,0,1366.807540655136
9,1571539197,1571539343,28.510553,"['a', 'a']",000_00009.dat,0,1512.4991734027863
10,1571539344,1571539488,28.274038,"['c', 'b']",000_00010.dat,0,1657.6470003128052
11,1571539489,1571539634,28.437102,"['c', 'a']",000_00011.dat,0,1803.292427778244
12,1571539634,1571539779,28.346332,"['c', 'b']",000_00012.dat,0,1948.6218118667603
13,1571539780,1571539924,28.357587,"['c', 'b']",000_00013.dat,0,2094.043972492218
14,1571539925,1571540073,28.900101,"['c', 'b']",000_00014.dat,0,2242.598170518875
15,1571540074,1571540219,28.360662,"['b', 'b']",000_00015.dat,0,2388.2018163204193
16,1571540219,1571540364,28.359532,"['c', 'b']",000_00016.dat,0,2533.6149208545685
