evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569136567,1569136575,6.045823,"['a', 'a', 'a']",000_00000.dat,0,8.16217827796936
1,1569136575,1569136585,7.50459,"['c', 'e', 'a']",000_00001.dat,0,17.7233145236969
2,1569136585,1569136592,5.215838,"['b', 'b', 'd']",000_00002.dat,0,25.079737663269043
3,1569136592,1569136601,6.553097,"['b', 'd', 'a']",000_00003.dat,0,33.66192865371704
4,1569136601,1569136609,6.524405,"['e', 'b', 'a']",000_00004.dat,0,42.16503882408142
5,1569136609,1569136617,6.043711,"['b', 'e', 'c']",000_00005.dat,0,50.252052307128906
6,1569136617,1569136625,5.394536,"['e', 'c', 'd']",000_00006.dat,0,57.75125312805176
7,1569136625,1569136633,6.014681,"['b', 'c', 'c']",000_00007.dat,0,65.68628573417664
8,1569136633,1569136640,5.071141,"['c', 'e', 'e']",000_00008.dat,0,72.84486126899719
9,1569136640,1569136648,5.695162,"['b', 'b', 'a']",000_00009.dat,0,81.06816005706787
10,1569136649,1569136657,5.965669,"['d', 'e', 'd']",000_00010.dat,0,89.83471155166626
