evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569136962,1569136972,2.524952,"['a', 'a']",000_00000.dat,0,10.4841148853302
1,1569136972,1569136981,2.716107,"['c', 'e']",000_00001.dat,0,19.239761114120483
2,1569136981,1569136989,2.591721,"['b', 'b']",000_00002.dat,0,27.652908086776733
3,1569136989,1569136998,2.680386,"['b', 'd']",000_00003.dat,0,36.377779483795166
4,1569136998,1569137007,2.621005,"['e', 'b']",000_00004.dat,0,45.77564096450806
5,1569137008,1569137017,2.622574,"['b', 'e']",000_00005.dat,0,55.260119915008545
6,1569137017,1569137026,2.711483,"['e', 'c']",000_00006.dat,0,64.03726196289062
7,1569137026,1569137036,2.585466,"['b', 'c']",000_00007.dat,0,74.64656209945679
8,1569137036,1569137045,2.844764,"['c', 'e']",000_00008.dat,0,83.62126183509827
9,1569137046,1569137054,2.473383,"['b', 'b']",000_00009.dat,0,92.30204176902771
