evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569136868,1569136872,2.65778,"['a', 'a']",000_00000.dat,0,4.2935471534729
1,1569136872,1569136876,2.786847,"['c', 'e']",000_00001.dat,0,8.6286301612854
2,1569136876,1569136881,3.241717,"['b', 'b']",000_00002.dat,0,13.268823623657227
3,1569136881,1569136885,2.754485,"['b', 'd']",000_00003.dat,0,17.54858684539795
4,1569136885,1569136890,3.417422,"['e', 'b']",000_00004.dat,0,22.314252376556396
5,1569136890,1569136894,2.812688,"['b', 'e']",000_00005.dat,0,26.759810209274292
6,1569136894,1569136899,3.316753,"['e', 'c']",000_00006.dat,0,31.46374201774597
7,1569136899,1569136904,3.068078,"['b', 'c']",000_00007.dat,0,36.081225872039795
8,1569136904,1569136908,2.864454,"['c', 'e']",000_00008.dat,0,40.49221611022949
9,1569136908,1569136913,3.286521,"['b', 'b']",000_00009.dat,0,45.53541827201843
10,1569136914,1569136918,2.85246,"['d', 'e']",000_00010.dat,0,50.48822498321533
11,1569136919,1569136924,2.959006,"['c', 'd']",000_00011.dat,0,55.85970711708069
12,1569136924,1569136929,2.961819,"['d', 'd']",000_00012.dat,0,61.18356800079346
13,1569136930,1569136934,3.462636,"['c', 'e']",000_00013.dat,0,66.80766320228577
14,1569136935,1569136940,3.091741,"['e', 'e']",000_00014.dat,0,72.23128128051758
15,1569136941,1569136945,2.912066,"['c', 'e']",000_00015.dat,0,77.55289196968079
16,1569136946,1569136950,2.533276,"['a', 'e']",000_00016.dat,0,82.51399207115173
17,1569136951,1569136955,2.674055,"['a', 'e']",000_00017.dat,0,87.46961283683777
18,1569136956,1569136960,2.528121,"['a', 'e']",000_00018.dat,0,92.48394560813904
