evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569014903,1569014904,9.223372036854776e+18,"['a', 'a']",000_00000.dat,0,1.5838091373443604
1,1569014904,1569014906,9.223372036854776e+18,"['b', 'd']",000_00001.dat,0,2.9658591747283936
2,1569014906,1569014907,9.223372036854776e+18,"['b', 'b']",000_00002.dat,0,4.242044448852539
3,1569014907,1569014908,9.223372036854776e+18,"['b', 'd']",000_00003.dat,0,5.623989820480347
4,1569014908,1569014910,9.223372036854776e+18,"['d', 'b']",000_00004.dat,0,7.053225994110107
5,1569014910,1569014911,9.223372036854776e+18,"['b', 'd']",000_00005.dat,0,8.483140707015991
6,1569014911,1569014912,9.223372036854776e+18,"['d', 'b']",000_00006.dat,0,9.702550888061523
7,1569014912,1569014914,9.223372036854776e+18,"['b', 'b']",000_00007.dat,0,10.979643821716309
8,1569014914,1569014915,9.223372036854776e+18,"['b', 'd']",000_00008.dat,0,12.50650429725647
9,1569014915,1569014917,9.223372036854776e+18,"['a', 'a']",000_00009.dat,0,14.160908460617065
10,1569014917,1569014919,9.223372036854776e+18,"['c', 'b']",000_00010.dat,0,16.224666833877563
11,1569014920,1569014921,9.223372036854776e+18,"['b', 'c']",000_00011.dat,0,18.198095083236694
12,1569014922,1569014923,9.223372036854776e+18,"['b', 'b']",000_00012.dat,0,20.315515279769897
13,1569014924,1569014925,9.223372036854776e+18,"['d', 'b']",000_00013.dat,0,22.2483389377594
14,1569014926,1569014927,9.223372036854776e+18,"['a', 'a']",000_00014.dat,0,24.231972455978394
15,1569014928,1569014929,9.223372036854776e+18,"['b', 'c']",000_00015.dat,0,26.33385992050171
16,1569014930,1569014931,9.223372036854776e+18,"['d', 'b']",000_00016.dat,0,28.380828142166138
17,1569014932,1569014933,9.223372036854776e+18,"['d', 'c']",000_00017.dat,0,30.59521198272705
18,1569014934,1569014935,9.223372036854776e+18,"['c', 'd']",000_00018.dat,0,32.667134523391724
19,1569014936,1569014937,9.223372036854776e+18,"['a', 'c']",000_00019.dat,0,34.77378439903259
20,1569014938,1569014939,9.223372036854776e+18,"['a', 'a']",000_00020.dat,0,36.74929451942444
